MonsterName, ItemName,IconPath,ItemType, DropPercent, Min, Max
Zakum,Dew,Slot/Dew,Consume,100,1,3
Zakum,Milk,Slot/Milk,Consume,100,1,3
Zakum,Elixir,Slot/Elixir,Consume,100,1,3
Zakum,PowerElixir,Slot/PowerElixir,Consume,100,1,3
Zakum,ZakumHead,Slot/ZakumHead,Equip,100,1,1
Zakum,ZakumEtc,Slot/ZakumEtc,Etc,100,1,3
Zakum,ZakumHork,Slot/ZakumHork,Equip,50,1,1
Zakum,ZakumWand,Slot/ZakumWand,Equip,50,1,1
Zakum,ZakumErrow,Slot/ZakumErrow,Equip,50,1,1
HornTail,Dew,Slot/Dew,Consume,100,1,3
HornTail,Milk,Slot/Milk,Consume,100,1,3
HornTail,Elixir,Slot/Elixir,Consume,100,1,3
HornTail,PowerElixir,Slot/PowerElixir,Consume,100,1,3
HornTail,HornTailNecklace,Slot/HornTailNecklace,Equip,100,1,1
HornTail,HornTailEgg,Slot/HornTailEgg,Etc,100,1,3
HornTail,DragonSlave,Slot/DragonSlave,Equip,50,1,1
HornTail,DragonStaff,Slot/DragonStaff,Equip,50,1,1
HornTail,DragonSword,Slot/DragonSword,Equip,50,1,1
